# indices,1k
1.910000000000000000e+02,3.450189257099999796e-01
1.920000000000000000e+02,3.466336913280000376e-01
1.930000000000000000e+02,3.482464609440000802e-01
1.940000000000000000e+02,3.498572345579999965e-01
1.950000000000000000e+02,3.514660121700000084e-01
1.960000000000000000e+02,3.530727937800000604e-01
1.970000000000000000e+02,3.546775793879999861e-01
1.980000000000000000e+02,3.562803689940000074e-01
1.990000000000000000e+02,3.578811625980000133e-01
2.000000000000000000e+02,3.594799602000000038e-01
2.010000000000000000e+02,3.610767617999999235e-01
2.020000000000000000e+02,3.626715673979999388e-01
2.030000000000000000e+02,3.642643769939999943e-01
2.040000000000000000e+02,3.658551905879999788e-01
2.050000000000000000e+02,3.674440081799999480e-01
2.060000000000000000e+02,3.690308297700000684e-01
2.070000000000000000e+02,3.706156553580000623e-01
2.080000000000000000e+02,3.721984849439999854e-01
2.090000000000000000e+02,3.737793185279999486e-01
2.100000000000000000e+02,3.753581561100000075e-01
2.110000000000000000e+02,3.769349976899999954e-01
2.120000000000000000e+02,3.785098432679999680e-01
2.130000000000000000e+02,3.800826928440000363e-01
2.140000000000000000e+02,3.816535464180000892e-01
2.150000000000000000e+02,3.832224039899999601e-01
2.160000000000000000e+02,3.847892655599999823e-01
2.170000000000000000e+02,3.863541311279999890e-01
2.180000000000000000e+02,3.879170006939999804e-01
2.190000000000000000e+02,3.894778742579999564e-01
2.200000000000000000e+02,3.910367518200000281e-01
2.210000000000000000e+02,3.925936333800000289e-01
2.220000000000000000e+02,3.941485189379999587e-01
2.230000000000000000e+02,3.957014084940000398e-01
2.240000000000000000e+02,3.972523020479999389e-01
2.250000000000000000e+02,3.988011996000000448e-01
2.260000000000000000e+02,4.003481011500000242e-01
2.270000000000000000e+02,4.018930066979999882e-01
2.280000000000000000e+02,4.034359162439999924e-01
2.290000000000000000e+02,4.049768297880000367e-01
2.300000000000000000e+02,4.065157473299999547e-01
2.310000000000000000e+02,4.080526688699999682e-01
2.320000000000000000e+02,4.095875944079999664e-01
2.330000000000000000e+02,4.111205239439999493e-01
2.340000000000000000e+02,4.126514574779999722e-01
2.350000000000000000e+02,4.141803950099999798e-01
2.360000000000000000e+02,4.157073365400000275e-01
2.370000000000000000e+02,4.172322820679999489e-01
2.380000000000000000e+02,4.187552315939999659e-01
2.390000000000000000e+02,4.202761851180000785e-01
2.400000000000000000e+02,4.217951426400000647e-01
2.410000000000000000e+02,4.233121041599999801e-01
2.420000000000000000e+02,4.248270696779999911e-01
2.430000000000000000e+02,4.263400391939999867e-01
2.440000000000000000e+02,4.278510127079999115e-01
2.450000000000000000e+02,4.293599902199999319e-01
2.460000000000000000e+02,4.308669717300000479e-01
2.470000000000000000e+02,4.323719572380000375e-01
2.480000000000000000e+02,4.338749467440000118e-01
2.490000000000000000e+02,4.353759402480000262e-01
2.500000000000000000e+02,4.368749377500000808e-01
2.510000000000000000e+02,4.383719392499999534e-01
2.520000000000000000e+02,4.398669447479999772e-01
2.530000000000000000e+02,4.413599542439999301e-01
2.540000000000000000e+02,4.428509677380000897e-01
2.550000000000000000e+02,4.443399852299999564e-01
2.560000000000000000e+02,4.458270067200000297e-01
2.570000000000000000e+02,4.473120322079999767e-01
2.580000000000000000e+02,4.487950616940000192e-01
2.590000000000000000e+02,4.502760951779999909e-01
2.600000000000000000e+02,4.517551326599999473e-01
2.610000000000000000e+02,4.532321741400000548e-01
2.620000000000000000e+02,4.547072196179999248e-01
2.630000000000000000e+02,4.561802690940000571e-01
2.640000000000000000e+02,4.576513225680000629e-01
2.650000000000000000e+02,4.591203800399999979e-01
2.660000000000000000e+02,4.605874415099999730e-01
2.670000000000000000e+02,4.620525069780000438e-01
2.680000000000000000e+02,4.635155764440000437e-01
2.690000000000000000e+02,4.649766499080000837e-01
2.700000000000000000e+02,4.664357273699999973e-01
2.710000000000000000e+02,4.678928088300000065e-01
2.720000000000000000e+02,4.693478942879999449e-01
2.730000000000000000e+02,4.708009837440000345e-01
2.740000000000000000e+02,4.722520771979999976e-01
2.750000000000000000e+02,4.737011746499999454e-01
2.760000000000000000e+02,4.751482760999999888e-01
2.770000000000000000e+02,4.765933815480000169e-01
2.780000000000000000e+02,4.780364909940000295e-01
2.790000000000000000e+02,4.794776044379999713e-01
2.800000000000000000e+02,4.809167218799999532e-01
2.810000000000000000e+02,4.823538433199999753e-01
2.820000000000000000e+02,4.837889687579999820e-01
2.830000000000000000e+02,4.852220981939999733e-01
2.840000000000000000e+02,4.866532316280000048e-01
2.850000000000000000e+02,4.880823690600000209e-01
2.860000000000000000e+02,4.895095104899999661e-01
2.870000000000000000e+02,4.909346559180000069e-01
2.880000000000000000e+02,4.923578053439999769e-01
2.890000000000000000e+02,4.937789587680000425e-01
2.900000000000000000e+02,4.951981161899999817e-01
2.910000000000000000e+02,4.966152776099999611e-01
2.920000000000000000e+02,4.980304430279999806e-01
2.930000000000000000e+02,4.994436124440000402e-01
2.940000000000000000e+02,5.008547858580000289e-01
2.950000000000000000e+02,5.022639632700000023e-01
2.960000000000000000e+02,5.036711446799999603e-01
2.970000000000000000e+02,5.050763300880000140e-01
2.980000000000000000e+02,5.064795194939999412e-01
2.990000000000000000e+02,5.078807128979999641e-01
3.000000000000000000e+02,5.092799102999999716e-01
3.010000000000000000e+02,5.106771116999999638e-01
3.020000000000000000e+02,5.120723170979999406e-01
3.030000000000000000e+02,5.134655264940000130e-01
3.040000000000000000e+02,5.148567398880000701e-01
3.050000000000000000e+02,5.162459572800000007e-01
3.060000000000000000e+02,5.176331786700001381e-01
3.070000000000000000e+02,5.190184040579999269e-01
3.080000000000000000e+02,5.204016334439999225e-01
3.090000000000000000e+02,5.217828668279999027e-01
3.100000000000000000e+02,5.231621042099999785e-01
3.110000000000000000e+02,5.245393455900000390e-01
3.120000000000000000e+02,5.259145909680000841e-01
3.130000000000000000e+02,5.272878403440001138e-01
3.140000000000000000e+02,5.286590937180001282e-01
3.150000000000000000e+02,5.300283510900000161e-01
3.160000000000000000e+02,5.313956124599999997e-01
3.170000000000000000e+02,5.327608778279999679e-01
3.180000000000000000e+02,5.341241471939999208e-01
3.190000000000000000e+02,5.354854205579999693e-01
3.200000000000000000e+02,5.368446979200001135e-01
3.210000000000000000e+02,5.382019792800000202e-01
3.220000000000000000e+02,5.395572646379999115e-01
3.230000000000000000e+02,5.409105539939998986e-01
3.240000000000000000e+02,5.422618473479999812e-01
3.250000000000000000e+02,5.436111446999999375e-01
3.260000000000000000e+02,5.449584460499999894e-01
3.270000000000000000e+02,5.463037513980000259e-01
3.280000000000000000e+02,5.476470607440000471e-01
3.290000000000000000e+02,5.489883740880000529e-01
3.300000000000000000e+02,5.503276914299999323e-01
3.310000000000000000e+02,5.516650127700000183e-01
3.320000000000000000e+02,5.530003381079999780e-01
3.330000000000000000e+02,5.543336674440000333e-01
3.340000000000000000e+02,5.556650007779999623e-01
3.350000000000000000e+02,5.569943381099999868e-01
3.360000000000000000e+02,5.583216794399999960e-01
3.370000000000000000e+02,5.596470247679999899e-01
3.380000000000000000e+02,5.609703740940000793e-01
3.390000000000000000e+02,5.622917274179999314e-01
3.400000000000000000e+02,5.636110847400001012e-01
3.410000000000000000e+02,5.649284460600000335e-01
3.420000000000000000e+02,5.662438113780000615e-01
3.430000000000000000e+02,5.675571806940000741e-01
3.440000000000000000e+02,5.688685540079999603e-01
3.450000000000000000e+02,5.701779313199999422e-01
3.460000000000000000e+02,5.714853126300000197e-01
3.470000000000000000e+02,5.727906979379999708e-01
3.480000000000000000e+02,5.740940872440000176e-01
3.490000000000000000e+02,5.753954805480001600e-01
3.500000000000000000e+02,5.766948778500000650e-01
3.510000000000000000e+02,5.779922791499999546e-01
3.520000000000000000e+02,5.792876844479999399e-01
3.530000000000000000e+02,5.805810937440000208e-01
3.540000000000000000e+02,5.818725070379999753e-01
3.550000000000000000e+02,5.831619243300000255e-01
3.560000000000000000e+02,5.844493456199999493e-01
3.570000000000000000e+02,5.857347709080000797e-01
3.580000000000000000e+02,5.870182001939999727e-01
3.590000000000000000e+02,5.882996334779999614e-01
3.600000000000000000e+02,5.895790707599999347e-01
3.610000000000000000e+02,5.908565120400000037e-01
3.620000000000000000e+02,5.921319573180000573e-01
3.630000000000000000e+02,5.934054065940000955e-01
3.640000000000000000e+02,5.946768598680001183e-01
3.650000000000000000e+02,5.959463171400000148e-01
3.660000000000000000e+02,5.972137784100000069e-01
3.670000000000000000e+02,5.984792436779999836e-01
3.680000000000000000e+02,5.997427129440000559e-01
3.690000000000000000e+02,6.010041862080000019e-01
3.700000000000000000e+02,6.022636634699999325e-01
3.710000000000000000e+02,6.035211447300000698e-01
3.720000000000000000e+02,6.047766299879999696e-01
3.730000000000000000e+02,6.060301192439999651e-01
3.740000000000000000e+02,6.072816124979999453e-01
3.750000000000000000e+02,6.085311097500000210e-01
3.760000000000000000e+02,6.097786109999999704e-01
3.770000000000000000e+02,6.110241162480001265e-01
3.780000000000000000e+02,6.122676254940000451e-01
3.790000000000000000e+02,6.135091387379999484e-01
3.800000000000000000e+02,6.147486559799999473e-01
3.810000000000000000e+02,6.159861772199999308e-01
3.820000000000000000e+02,6.172217024580000100e-01
3.830000000000000000e+02,6.184552316940000738e-01
3.840000000000000000e+02,6.196867649280000112e-01
3.850000000000000000e+02,6.209163021600000443e-01
3.860000000000000000e+02,6.221438433900000620e-01
3.870000000000000000e+02,6.233693886179999533e-01
3.880000000000000000e+02,6.245929378439999402e-01
3.890000000000000000e+02,6.258144910679999118e-01
3.900000000000000000e+02,6.270340482899999790e-01
3.910000000000000000e+02,6.282516095100000308e-01
3.920000000000000000e+02,6.294671747279999563e-01
3.930000000000000000e+02,6.306807439439999774e-01
3.940000000000000000e+02,6.318923171579998721e-01
3.950000000000000000e+02,6.331018943699999735e-01
3.960000000000000000e+02,6.343094755800000595e-01
3.970000000000000000e+02,6.355150607880000191e-01
3.980000000000000000e+02,6.367186499939999633e-01
3.990000000000000000e+02,6.379202431980000032e-01
4.000000000000000000e+02,6.391198404000001387e-01
4.010000000000000000e+02,6.403174415999999258e-01
4.020000000000000000e+02,6.415130467979999196e-01
4.030000000000000000e+02,6.427066559940000090e-01
4.040000000000000000e+02,6.438982691879999720e-01
4.050000000000000000e+02,6.450878863799999197e-01
4.060000000000000000e+02,6.462755075700000740e-01
4.070000000000000000e+02,6.474611327580001019e-01
4.080000000000000000e+02,6.486447619440001144e-01
4.090000000000000000e+02,6.498263951280000006e-01
4.100000000000000000e+02,6.510060323099999824e-01
4.110000000000000000e+02,6.521836734900000598e-01
4.120000000000000000e+02,6.533593186680000109e-01
4.130000000000000000e+02,6.545329678440000576e-01
4.140000000000000000e+02,6.557046210180000889e-01
4.150000000000000000e+02,6.568742781899999938e-01
4.160000000000000000e+02,6.580419393599998834e-01
4.170000000000000000e+02,6.592076045279999796e-01
4.180000000000000000e+02,6.603712736940000605e-01
4.190000000000000000e+02,6.615329468579999039e-01
4.200000000000000000e+02,6.626926240200000651e-01
4.210000000000000000e+02,6.638503051799999888e-01
4.220000000000000000e+02,6.650059903380000081e-01
