# proportion, advantage
1.449999999999999900e-01,2.685820291200000098e-01
1.459999999999999909e-01,2.702886108299999424e-01
1.469999999999999918e-01,2.719931965380000261e-01
1.479999999999999927e-01,2.736957862440000389e-01
1.489999999999999936e-01,2.753963799479999808e-01
1.499999999999999944e-01,2.770949776499999628e-01
1.509999999999999953e-01,2.787915793499999850e-01
1.519999999999999962e-01,2.804861850479999918e-01
1.529999999999999971e-01,2.821787947440000388e-01
1.539999999999999980e-01,2.838694084379999594e-01
1.549999999999999989e-01,2.855580261299999756e-01
1.559999999999999998e-01,2.872446478200000319e-01
1.570000000000000007e-01,2.889292735080000729e-01
1.580000000000000016e-01,2.906119031939999320e-01
1.590000000000000024e-01,2.922925368780000532e-01
1.600000000000000033e-01,2.939711745599999926e-01
1.610000000000000042e-01,2.956478162399999721e-01
1.620000000000000051e-01,2.973224619179999917e-01
1.630000000000000060e-01,2.989951115939999959e-01
1.640000000000000069e-01,3.006657652679999848e-01
1.650000000000000078e-01,3.023344229399999583e-01
1.660000000000000087e-01,3.040010846099999720e-01
1.670000000000000095e-01,3.056657502779999702e-01
1.680000000000000104e-01,3.073284199440000086e-01
1.690000000000000113e-01,3.089890936080000317e-01
1.700000000000000122e-01,3.106477712699999838e-01
1.710000000000000131e-01,3.123044529300000871e-01
1.719999999999999862e-01,3.139591385879999530e-01
1.729999999999999871e-01,3.156118282440000256e-01
1.739999999999999880e-01,3.172625218980000827e-01
1.749999999999999889e-01,3.189112195500000135e-01
1.759999999999999898e-01,3.205579211999999845e-01
1.769999999999999907e-01,3.222026268480000510e-01
1.779999999999999916e-01,3.238453364939999912e-01
1.789999999999999925e-01,3.254860501380000271e-01
1.799999999999999933e-01,3.271247677799999920e-01
1.809999999999999942e-01,3.287614894199999971e-01
1.819999999999999951e-01,3.303962150580000423e-01
1.829999999999999960e-01,3.320289446940000166e-01
1.839999999999999969e-01,3.336596783279999756e-01
1.849999999999999978e-01,3.352884159600000302e-01
1.859999999999999987e-01,3.369151575900000140e-01
1.869999999999999996e-01,3.385399032179999823e-01
1.880000000000000004e-01,3.401626528439999908e-01
1.890000000000000013e-01,3.417834064680000949e-01
1.900000000000000022e-01,3.434021640900000172e-01
1.910000000000000031e-01,3.450189257099999796e-01
1.920000000000000040e-01,3.466336913280000376e-01
1.930000000000000049e-01,3.482464609440000802e-01
1.940000000000000058e-01,3.498572345579999965e-01
1.950000000000000067e-01,3.514660121700000084e-01
1.960000000000000075e-01,3.530727937800000604e-01
1.970000000000000084e-01,3.546775793879999861e-01
1.980000000000000093e-01,3.562803689940000074e-01
1.990000000000000102e-01,3.578811625980000133e-01
2.000000000000000111e-01,3.594799602000000038e-01
2.010000000000000120e-01,3.610767617999999235e-01
2.020000000000000129e-01,3.626715673979999388e-01
2.030000000000000138e-01,3.642643769939999943e-01
2.039999999999999869e-01,3.658551905879999788e-01
2.049999999999999878e-01,3.674440081799999480e-01
2.059999999999999887e-01,3.690308297700000684e-01
2.069999999999999896e-01,3.706156553580000623e-01
2.079999999999999905e-01,3.721984849439999854e-01
2.089999999999999913e-01,3.737793185279999486e-01
2.099999999999999922e-01,3.753581561100000075e-01
2.109999999999999931e-01,3.769349976899999954e-01
2.119999999999999940e-01,3.785098432679999680e-01
2.129999999999999949e-01,3.800826928440000363e-01
2.139999999999999958e-01,3.816535464180000892e-01
2.149999999999999967e-01,3.832224039899999601e-01
2.159999999999999976e-01,3.847892655599999823e-01
2.169999999999999984e-01,3.863541311279999890e-01
2.179999999999999993e-01,3.879170006939999804e-01
2.190000000000000002e-01,3.894778742579999564e-01
2.200000000000000011e-01,3.910367518200000281e-01
2.210000000000000020e-01,3.925936333800000289e-01
2.220000000000000029e-01,3.941485189379999587e-01
2.230000000000000038e-01,3.957014084940000398e-01
2.240000000000000047e-01,3.972523020479999389e-01
2.250000000000000056e-01,3.988011996000000448e-01
2.260000000000000064e-01,4.003481011500000242e-01
2.270000000000000073e-01,4.018930066979999882e-01
2.280000000000000082e-01,4.034359162439999924e-01
2.290000000000000091e-01,4.049768297880000367e-01
2.300000000000000100e-01,4.065157473299999547e-01
2.310000000000000109e-01,4.080526688699999682e-01
2.320000000000000118e-01,4.095875944079999664e-01
2.330000000000000127e-01,4.111205239439999493e-01
2.340000000000000135e-01,4.126514574779999722e-01
2.349999999999999867e-01,4.141803950099999798e-01
2.359999999999999876e-01,4.157073365400000275e-01
2.369999999999999885e-01,4.172322820679999489e-01
2.379999999999999893e-01,4.187552315939999659e-01
2.389999999999999902e-01,4.202761851180000785e-01
2.399999999999999911e-01,4.217951426400000647e-01
2.409999999999999920e-01,4.233121041599999801e-01
2.419999999999999929e-01,4.248270696779999911e-01
2.429999999999999938e-01,4.263400391939999867e-01
2.439999999999999947e-01,4.278510127079999115e-01
2.449999999999999956e-01,4.293599902199999319e-01
2.459999999999999964e-01,4.308669717300000479e-01
2.469999999999999973e-01,4.323719572380000375e-01
2.479999999999999982e-01,4.338749467440000118e-01
2.489999999999999991e-01,4.353759402480000262e-01
2.500000000000000000e-01,4.368749377500000808e-01
2.510000000000000009e-01,4.383719392499999534e-01
2.520000000000000018e-01,4.398669447479999772e-01
2.530000000000000027e-01,4.413599542439999301e-01
2.540000000000000036e-01,4.428509677380000897e-01
2.550000000000000044e-01,4.443399852299999564e-01
2.560000000000000053e-01,4.458270067200000297e-01
2.570000000000000062e-01,4.473120322079999767e-01
2.580000000000000071e-01,4.487950616940000192e-01
2.590000000000000080e-01,4.502760951779999909e-01
2.600000000000000089e-01,4.517551326599999473e-01
2.610000000000000098e-01,4.532321741400000548e-01
2.620000000000000107e-01,4.547072196179999248e-01
2.630000000000000115e-01,4.561802690940000571e-01
2.640000000000000124e-01,4.576513225680000629e-01
2.650000000000000133e-01,4.591203800399999979e-01
2.660000000000000142e-01,4.605874415099999730e-01
2.670000000000000151e-01,4.620525069780000438e-01
2.680000000000000160e-01,4.635155764440000437e-01
2.690000000000000169e-01,4.649766499080000837e-01
2.700000000000000178e-01,4.664357273699999973e-01
2.710000000000000187e-01,4.678928088300000065e-01
2.720000000000000195e-01,4.693478942879999449e-01
2.730000000000000204e-01,4.708009837440000345e-01
2.740000000000000213e-01,4.722520771979999976e-01
2.750000000000000222e-01,4.737011746499999454e-01
2.760000000000000231e-01,4.751482760999999888e-01
2.770000000000000240e-01,4.765933815480000169e-01
2.780000000000000249e-01,4.780364909940000295e-01
2.790000000000000258e-01,4.794776044379999713e-01
2.800000000000000266e-01,4.809167218799999532e-01
2.810000000000000275e-01,4.823538433199999753e-01
2.819999999999999729e-01,4.837889687579999820e-01
2.829999999999999738e-01,4.852220981939999733e-01
2.839999999999999747e-01,4.866532316280000048e-01
2.849999999999999756e-01,4.880823690600000209e-01
2.859999999999999765e-01,4.895095104899999661e-01
2.869999999999999774e-01,4.909346559180000069e-01
2.879999999999999782e-01,4.923578053439999769e-01
2.889999999999999791e-01,4.937789587680000425e-01
2.899999999999999800e-01,4.951981161899999817e-01
2.909999999999999809e-01,4.966152776099999611e-01
2.919999999999999818e-01,4.980304430279999806e-01
2.929999999999999827e-01,4.994436124440000402e-01
2.939999999999999836e-01,5.008547858580000289e-01
2.949999999999999845e-01,5.022639632700000023e-01
2.959999999999999853e-01,5.036711446799999603e-01
2.969999999999999862e-01,5.050763300880000140e-01
2.979999999999999871e-01,5.064795194939999412e-01
2.989999999999999880e-01,5.078807128979999641e-01
2.999999999999999889e-01,5.092799102999999716e-01
3.009999999999999898e-01,5.106771116999999638e-01
3.019999999999999907e-01,5.120723170979999406e-01
3.029999999999999916e-01,5.134655264940000130e-01
3.039999999999999925e-01,5.148567398880000701e-01
3.049999999999999933e-01,5.162459572800000007e-01
3.059999999999999942e-01,5.176331786700001381e-01
3.069999999999999951e-01,5.190184040579999269e-01
3.079999999999999960e-01,5.204016334439999225e-01
3.089999999999999969e-01,5.217828668279999027e-01
3.099999999999999978e-01,5.231621042099999785e-01
3.109999999999999987e-01,5.245393455900000390e-01
3.119999999999999996e-01,5.259145909680000841e-01
3.130000000000000004e-01,5.272878403440001138e-01
3.140000000000000013e-01,5.286590937180001282e-01
3.150000000000000022e-01,5.300283510900000161e-01
3.160000000000000031e-01,5.313956124599999997e-01
3.170000000000000040e-01,5.327608778279999679e-01
3.180000000000000049e-01,5.341241471939999208e-01
3.190000000000000058e-01,5.354854205579999693e-01
3.200000000000000067e-01,5.368446979200001135e-01
3.210000000000000075e-01,5.382019792800000202e-01
3.220000000000000084e-01,5.395572646379999115e-01
3.230000000000000093e-01,5.409105539939998986e-01
3.240000000000000102e-01,5.422618473479999812e-01
3.250000000000000111e-01,5.436111446999999375e-01
3.260000000000000120e-01,5.449584460499999894e-01
3.270000000000000129e-01,5.463037513980000259e-01
3.280000000000000138e-01,5.476470607440000471e-01
3.290000000000000147e-01,5.489883740880000529e-01
3.300000000000000155e-01,5.503276914299999323e-01
3.310000000000000164e-01,5.516650127700000183e-01
3.320000000000000173e-01,5.530003381079999780e-01
3.330000000000000182e-01,5.543336674440000333e-01
3.340000000000000191e-01,5.556650007779999623e-01
3.350000000000000200e-01,5.569943381099999868e-01
3.360000000000000209e-01,5.583216794399999960e-01
3.370000000000000218e-01,5.596470247679999899e-01
3.380000000000000226e-01,5.609703740940000793e-01
3.390000000000000235e-01,5.622917274179999314e-01
3.400000000000000244e-01,5.636110847400001012e-01
3.410000000000000253e-01,5.649284460600000335e-01
3.420000000000000262e-01,5.662438113780000615e-01
3.430000000000000271e-01,5.675571806940000741e-01
3.439999999999999725e-01,5.688685540079999603e-01
3.449999999999999734e-01,5.701779313199999422e-01
3.459999999999999742e-01,5.714853126300000197e-01
3.469999999999999751e-01,5.727906979379999708e-01
3.479999999999999760e-01,5.740940872440000176e-01
3.489999999999999769e-01,5.753954805480001600e-01
3.499999999999999778e-01,5.766948778500000650e-01
3.509999999999999787e-01,5.779922791499999546e-01
3.519999999999999796e-01,5.792876844479999399e-01
3.529999999999999805e-01,5.805810937440000208e-01
3.539999999999999813e-01,5.818725070379999753e-01
3.549999999999999822e-01,5.831619243300000255e-01
3.559999999999999831e-01,5.844493456199999493e-01
3.569999999999999840e-01,5.857347709080000797e-01
3.579999999999999849e-01,5.870182001939999727e-01
3.589999999999999858e-01,5.882996334779999614e-01
3.599999999999999867e-01,5.895790707599999347e-01
3.609999999999999876e-01,5.908565120400000037e-01
3.619999999999999885e-01,5.921319573180000573e-01
3.629999999999999893e-01,5.934054065940000955e-01
3.639999999999999902e-01,5.946768598680001183e-01
3.649999999999999911e-01,5.959463171400000148e-01
3.659999999999999920e-01,5.972137784100000069e-01
3.669999999999999929e-01,5.984792436779999836e-01
3.679999999999999938e-01,5.997427129440000559e-01
3.689999999999999947e-01,6.010041862080000019e-01
3.699999999999999956e-01,6.022636634699999325e-01
3.709999999999999964e-01,6.035211447300000698e-01
3.719999999999999973e-01,6.047766299879999696e-01
3.729999999999999982e-01,6.060301192439999651e-01
3.739999999999999991e-01,6.072816124979999453e-01
3.750000000000000000e-01,6.085311097500000210e-01
3.760000000000000009e-01,6.097786109999999704e-01
3.770000000000000018e-01,6.110241162480001265e-01
3.780000000000000027e-01,6.122676254940000451e-01
3.790000000000000036e-01,6.135091387379999484e-01
3.800000000000000044e-01,6.147486559799999473e-01
3.810000000000000053e-01,6.159861772199999308e-01
3.820000000000000062e-01,6.172217024580000100e-01
3.830000000000000071e-01,6.184552316940000738e-01
3.840000000000000080e-01,6.196867649280000112e-01
3.850000000000000089e-01,6.209163021600000443e-01
3.860000000000000098e-01,6.221438433900000620e-01
3.870000000000000107e-01,6.233693886179999533e-01
3.880000000000000115e-01,6.245929378439999402e-01
3.890000000000000124e-01,6.258144910679999118e-01
3.900000000000000133e-01,6.270340482899999790e-01
3.910000000000000142e-01,6.282516095100000308e-01
3.920000000000000151e-01,6.294671747279999563e-01
3.930000000000000160e-01,6.306807439439999774e-01
3.940000000000000169e-01,6.318923171579998721e-01
3.950000000000000178e-01,6.331018943699999735e-01
3.960000000000000187e-01,6.343094755800000595e-01
3.970000000000000195e-01,6.355150607880000191e-01
3.980000000000000204e-01,6.367186499939999633e-01
3.990000000000000213e-01,6.379202431980000032e-01
4.000000000000000222e-01,6.391198404000001387e-01
4.010000000000000231e-01,6.403174415999999258e-01
4.020000000000000240e-01,6.415130467979999196e-01
4.030000000000000249e-01,6.427066559940000090e-01
4.040000000000000258e-01,6.438982691879999720e-01
4.050000000000000266e-01,6.450878863799999197e-01
4.060000000000000275e-01,6.462755075700000740e-01
4.069999999999999729e-01,6.474611327580001019e-01
4.079999999999999738e-01,6.486447619440001144e-01
4.089999999999999747e-01,6.498263951280000006e-01
4.099999999999999756e-01,6.510060323099999824e-01
4.109999999999999765e-01,6.521836734900000598e-01
4.119999999999999774e-01,6.533593186680000109e-01
4.129999999999999782e-01,6.545329678440000576e-01
4.139999999999999791e-01,6.557046210180000889e-01
4.149999999999999800e-01,6.568742781899999938e-01
4.159999999999999809e-01,6.580419393599998834e-01
4.169999999999999818e-01,6.592076045279999796e-01
4.179999999999999827e-01,6.603712736940000605e-01
4.189999999999999836e-01,6.615329468579999039e-01
4.199999999999999845e-01,6.626926240200000651e-01
4.209999999999999853e-01,6.638503051799999888e-01
4.219999999999999862e-01,6.650059903380000081e-01
4.229999999999999871e-01,6.661596794939999011e-01
4.239999999999999880e-01,6.673113726480000008e-01
4.249999999999999889e-01,6.684610697999999740e-01
4.259999999999999898e-01,6.696087709500000429e-01
4.269999999999999907e-01,6.707544760979999854e-01
4.279999999999999916e-01,6.718981852440000235e-01
4.289999999999999925e-01,6.730398983880000463e-01
4.299999999999999933e-01,6.741796155299999427e-01
4.309999999999999942e-01,6.753173366699999347e-01
4.319999999999999951e-01,6.764530618079999114e-01
4.329999999999999960e-01,6.775867909439999837e-01
4.339999999999999969e-01,6.787185240780000406e-01
4.349999999999999978e-01,6.798482612100000821e-01
4.359999999999999987e-01,6.809760023399999973e-01
4.369999999999999996e-01,6.821017474679998971e-01
4.380000000000000004e-01,6.832254965940000035e-01
4.390000000000000013e-01,6.843472497179999836e-01
4.400000000000000022e-01,6.854670068399999483e-01
4.410000000000000031e-01,6.865847679600000086e-01
4.420000000000000040e-01,6.877005330780000536e-01
4.430000000000000049e-01,6.888143021940000832e-01
4.440000000000000058e-01,6.899260753080000974e-01
4.450000000000000067e-01,6.910358524199999852e-01
4.460000000000000075e-01,6.921436335300000797e-01
4.470000000000000084e-01,6.932494186380000478e-01
4.480000000000000093e-01,6.943532077440000005e-01
4.490000000000000102e-01,6.954550008480000489e-01
4.500000000000000111e-01,6.965547979499999709e-01
4.510000000000000120e-01,6.976525990499999885e-01
4.520000000000000129e-01,6.987484041479998798e-01
4.530000000000000138e-01,6.998422132439999777e-01
4.540000000000000147e-01,7.009340263379999492e-01
4.550000000000000155e-01,7.020238434299999053e-01
4.560000000000000164e-01,7.031116645199999571e-01
4.570000000000000173e-01,7.041974896080001045e-01
4.580000000000000182e-01,7.052813186940000145e-01
4.590000000000000191e-01,7.063631517779999092e-01
4.600000000000000200e-01,7.074429888599998995e-01
4.610000000000000209e-01,7.085208299399999854e-01
4.620000000000000218e-01,7.095966750179999449e-01
4.630000000000000226e-01,7.106705240940000001e-01
4.640000000000000235e-01,7.117423771680001510e-01
4.650000000000000244e-01,7.128122342400000644e-01
4.660000000000000253e-01,7.138800953099999624e-01
4.670000000000000262e-01,7.149459603779999561e-01
4.680000000000000271e-01,7.160098294440000455e-01
4.689999999999999725e-01,7.170717025080000084e-01
4.699999999999999734e-01,7.181315795700000670e-01
4.709999999999999742e-01,7.191894606299999992e-01
4.719999999999999751e-01,7.202453456880001381e-01
4.729999999999999760e-01,7.212992347440000396e-01
4.739999999999999769e-01,7.223511277979999257e-01
4.749999999999999778e-01,7.234010248500000184e-01
4.759999999999999787e-01,7.244489259000000958e-01
4.769999999999999796e-01,7.254948309479999358e-01
4.779999999999999805e-01,7.265387399940000934e-01
4.789999999999999813e-01,7.275806530380000137e-01
4.799999999999999822e-01,7.286205700800000296e-01
4.809999999999999831e-01,7.296584911200000301e-01
4.819999999999999840e-01,7.306944161579999042e-01
4.829999999999999849e-01,7.317283451939999850e-01
4.839999999999999858e-01,7.327602782280000504e-01
4.849999999999999867e-01,7.337902152599999894e-01
4.859999999999999876e-01,7.348181562900001351e-01
4.869999999999999885e-01,7.358441013180000434e-01
4.879999999999999893e-01,7.368680503439999363e-01
4.889999999999999902e-01,7.378900033679999249e-01
4.899999999999999911e-01,7.389099603900000091e-01
4.909999999999999920e-01,7.399279214100000779e-01
4.919999999999999929e-01,7.409438864280001313e-01
4.929999999999999938e-01,7.419578554440000584e-01
4.939999999999999947e-01,7.429698284579999701e-01
4.949999999999999956e-01,7.439798054699998664e-01
4.959999999999999964e-01,7.449877864800000804e-01
4.969999999999999973e-01,7.459937714879999460e-01
4.979999999999999982e-01,7.469977604940000182e-01
4.989999999999999991e-01,7.479997534980000751e-01
5.000000000000000000e-01,7.489997505000000055e-01
5.010000000000000009e-01,7.499977515000001427e-01
5.020000000000000018e-01,7.509937564979999314e-01
5.030000000000000027e-01,7.519877654939999267e-01
5.040000000000000036e-01,7.529797784880000178e-01
5.050000000000000044e-01,7.539697954799999824e-01
5.060000000000000053e-01,7.549578164700000427e-01
5.070000000000000062e-01,7.559438414580000876e-01
5.080000000000000071e-01,7.569278704440000061e-01
5.090000000000000080e-01,7.579099034280000202e-01
5.100000000000000089e-01,7.588899404100000190e-01
5.110000000000000098e-01,7.598679813900000024e-01
5.120000000000000107e-01,7.608440263679999704e-01
5.130000000000000115e-01,7.618180753440000341e-01
5.140000000000000124e-01,7.627901283179999714e-01
5.150000000000000133e-01,7.637601852900000043e-01
5.160000000000000142e-01,7.647282462600000219e-01
5.170000000000000151e-01,7.656943112280000241e-01
5.180000000000000160e-01,7.666583801939998999e-01
5.190000000000000169e-01,7.676204531580000934e-01
5.200000000000000178e-01,7.685805301199999384e-01
5.210000000000000187e-01,7.695386110799999901e-01
5.220000000000000195e-01,7.704946960380000265e-01
5.230000000000000204e-01,7.714487849940000475e-01
5.240000000000000213e-01,7.724008779479999420e-01
5.250000000000000222e-01,7.733509749000000433e-01
5.260000000000000231e-01,7.742990758500000181e-01
5.270000000000000240e-01,7.752451807980000886e-01
5.280000000000000249e-01,7.761892897440000327e-01
5.290000000000000258e-01,7.771314026880000725e-01
5.300000000000000266e-01,7.780715196299999858e-01
5.310000000000000275e-01,7.790096405699998838e-01
5.320000000000000284e-01,7.799457655079999885e-01
5.330000000000000293e-01,7.808798944440000778e-01
5.340000000000000302e-01,7.818120273779999296e-01
5.350000000000000311e-01,7.827421643099999882e-01
5.360000000000000320e-01,7.836703052400000313e-01
5.370000000000000329e-01,7.845964501679999481e-01
5.380000000000000338e-01,7.855205990940000715e-01
5.390000000000000346e-01,7.864427520179999576e-01
5.400000000000000355e-01,7.873629089399999392e-01
5.410000000000000364e-01,7.882810698599999055e-01
5.420000000000000373e-01,7.891972347779999675e-01
5.430000000000000382e-01,7.901114036940000140e-01
5.440000000000000391e-01,7.910235766080000452e-01
5.450000000000000400e-01,7.919337535200000611e-01
5.460000000000000409e-01,7.928419344300000615e-01
5.470000000000000417e-01,7.937481193379999356e-01
5.480000000000000426e-01,7.946523082440000163e-01
5.490000000000000435e-01,7.955545011479999706e-01
5.500000000000000444e-01,7.964546980500000206e-01
5.510000000000000453e-01,7.973528989500000552e-01
5.520000000000000462e-01,7.982491038479999634e-01
5.530000000000000471e-01,7.991433127439999673e-01
5.540000000000000480e-01,8.000355256379999558e-01
5.550000000000000488e-01,8.009257425299999289e-01
5.560000000000000497e-01,8.018139634199999977e-01
5.570000000000000506e-01,8.027001883080000511e-01
5.580000000000000515e-01,8.035844171940000891e-01
5.590000000000000524e-01,8.044666500780000007e-01
5.600000000000000533e-01,8.053468869599998969e-01
5.610000000000000542e-01,8.062251278399999999e-01
5.620000000000000551e-01,8.071013727179999764e-01
5.629999999999999449e-01,8.079756215939999375e-01
5.639999999999999458e-01,8.088478744679999943e-01
5.649999999999999467e-01,8.097181313400000358e-01
5.659999999999999476e-01,8.105863922100000618e-01
5.669999999999999485e-01,8.114526570779999615e-01
5.679999999999999494e-01,8.123169259439999568e-01
5.689999999999999503e-01,8.131791988080000477e-01
5.699999999999999512e-01,8.140394756699999013e-01
5.709999999999999520e-01,8.148977565299999615e-01
5.719999999999999529e-01,8.157540413880000063e-01
5.729999999999999538e-01,8.166083302440000358e-01
5.739999999999999547e-01,8.174606230980000499e-01
5.749999999999999556e-01,8.183109199499999376e-01
5.759999999999999565e-01,8.191592207999999209e-01
5.769999999999999574e-01,8.200055256479999999e-01
5.779999999999999583e-01,8.208498344939999525e-01
5.789999999999999591e-01,8.216921473380000007e-01
5.799999999999999600e-01,8.225324641800000336e-01
5.809999999999999609e-01,8.233707850200001621e-01
5.819999999999999618e-01,8.242071098579999422e-01
